"Indicator type","Indicator","Description"
"hostname","zh.venustechs.tk",""
"hostname","service-kfo3t63l-1310046338.bj.apigw.tencentcs.com",""
"hostname","baidu.bddyun.xyz",""
"domain","realgislander.tk",""
"hostname","service-cv62i2eg-1258558004.hk.apigw.tencentcs.com",""
"hostname","download.flash-team.tk",""
"hostname","update.huorongsec.com",""
"hostname","fooddash.fooddash.workers.dev",""
"hostname","sinatxbaidu.oneneo.xyz",""
"hostname","app.tqlnmsl.tk",""
"hostname","www.ggdddhm.tk",""
"hostname","www.sw0rd.xyz",""
"domain","cuphq.com",""
"domain","goog1e.online",""
"hostname","service-bnz2w1fk-1302945528.gz.apigw.tencentcs.com",""
"domain","msdoc.us",""
"domain","atsecurity.tk",""
