"Indicator type","Indicator","Description"
"IPv4","39.107.179.147",""
"IPv4","43.138.169.134",""
"IPv4","154.26.130.12",""
"IPv4","31.44.184.84",""
"IPv4","13.40.37.251",""
"IPv4","43.129.222.202",""
"IPv4","38.54.37.36",""
"IPv4","198.144.183.12",""
"IPv4","23.227.196.26",""
"IPv4","110.43.34.176",""
"IPv4","101.42.221.54",""
"IPv4","3.11.13.108",""
"IPv4","176.113.115.3",""
"IPv4","101.42.173.185",""
"IPv4","118.195.144.147",""
"IPv4","51.13.117.44",""
"IPv4","101.33.239.122",""
"IPv4","207.246.112.192",""
"IPv4","39.103.189.229",""
"IPv4","68.183.27.162",""
"IPv4","101.43.139.124",""
"IPv4","120.53.228.41",""
"IPv4","54.221.88.229",""
"IPv4","47.243.203.249",""
"IPv4","124.223.164.205",""
"IPv4","23.224.42.32",""
"IPv4","180.76.182.14",""
"IPv4","121.5.44.178",""
"IPv4","147.182.141.254",""
"IPv4","43.142.188.168",""
"IPv4","47.243.236.221",""
"IPv4","121.5.239.178",""
"IPv4","179.43.187.122",""
"IPv4","8.142.69.99",""
"IPv4","159.75.229.51",""
"IPv4","150.158.18.5",""
"IPv4","174.139.150.224",""
"IPv4","39.105.125.200",""
"IPv4","8.131.118.10",""
"IPv4","104.225.234.34",""
"IPv4","82.157.182.245",""
"IPv4","43.135.92.46",""
"IPv4","165.154.229.59",""
"IPv4","152.136.178.142",""
"IPv4","47.112.227.200",""
"IPv4","47.242.55.79",""
"IPv4","47.94.90.57",""
"IPv4","120.79.25.151",""
"IPv4","101.35.254.136",""
"IPv4","39.106.15.228",""
"IPv4","43.138.48.184",""
"IPv4","101.33.212.118",""
"IPv4","204.10.120.109",""
"IPv4","139.155.25.252",""
"IPv4","121.37.21.254",""
"IPv4","81.70.167.153",""
"IPv4","81.68.106.109",""
"IPv4","120.55.125.61",""
"IPv4","119.91.70.28",""
"IPv4","121.41.89.180",""
"IPv4","106.13.63.18",""
"IPv4","101.43.41.152",""
"IPv4","31.41.244.192",""
"IPv4","101.43.225.48",""
"IPv4","43.138.189.212",""
"IPv4","18.134.8.169",""
"IPv4","45.62.121.214",""
"IPv4","18.117.178.164",""
"IPv4","45.182.189.190",""
"IPv4","103.146.179.94",""
"IPv4","121.4.254.197",""
"IPv4","47.98.249.249",""
"IPv4","1.13.176.232",""
"IPv4","1.116.22.103",""
"IPv4","121.4.123.50",""
"IPv4","139.155.90.81",""
"IPv4","5.44.42.26",""
"IPv4","185.236.202.202",""
"IPv4","39.109.68.117",""
"IPv4","121.4.88.169",""
"IPv4","103.146.141.98",""
"IPv4","42.202.144.230",""
"IPv4","175.178.182.216",""
"IPv4","47.104.143.234",""
"IPv4","106.54.168.113",""
"IPv4","179.60.150.57",""
"IPv4","157.245.254.149",""
"IPv4","182.254.213.162",""
"IPv4","123.60.74.61",""
"IPv4","1.117.224.227",""
"IPv4","38.6.155.103",""
"IPv4","43.135.42.59",""
"IPv4","106.14.21.51",""
"IPv4","20.26.247.136",""
"IPv4","162.14.116.148",""
"IPv4","146.70.53.165",""
"IPv4","179.60.150.53",""
"IPv4","198.148.126.33",""
"IPv4","47.113.192.46",""
"IPv4","124.222.125.194",""
"IPv4","31.44.184.232",""
"IPv4","43.142.180.251",""
"IPv4","5.188.86.235",""
"IPv4","119.23.179.218",""
"IPv4","78.128.112.139",""
"IPv4","120.48.122.130",""
"IPv4","47.96.132.96",""
"IPv4","157.245.153.234",""
"IPv4","114.55.25.227",""
"IPv4","106.75.85.32",""
"IPv4","172.245.27.233",""
"IPv4","1.14.122.215",""
"IPv4","106.13.54.144",""
"IPv4","107.172.8.5",""
"IPv4","124.222.2.15",""
"IPv4","124.221.201.119",""
"IPv4","101.42.169.90",""
"IPv4","180.76.186.77",""
"IPv4","27.122.57.255",""
"IPv4","47.98.253.9",""
"IPv4","117.50.187.39",""
"IPv4","124.221.119.2",""
"IPv4","175.27.157.133",""
"IPv4","114.115.140.236",""
"IPv4","101.32.204.81",""
"IPv4","39.105.31.193",""
"IPv4","120.48.116.48",""
"IPv4","42.192.36.250",""
"IPv4","180.76.105.82",""
"IPv4","43.134.66.6",""
"IPv4","143.198.154.179",""
"IPv4","175.178.36.137",""
"IPv4","49.233.121.129",""
"IPv4","106.52.130.164",""
"IPv4","43.142.117.98",""
"IPv4","1.116.14.99",""
"IPv4","82.156.27.75",""
"IPv4","101.43.108.28",""
"IPv4","54.162.12.205",""
"IPv4","101.43.186.153",""
"IPv4","47.113.188.133",""
"IPv4","45.117.102.139",""
"IPv4","101.43.10.149",""
"IPv4","170.187.142.22",""
"IPv4","101.201.48.125",""
"IPv4","198.12.65.68",""
"IPv4","120.24.63.15",""
"IPv4","111.229.51.128",""
"IPv4","107.172.21.150",""
"IPv4","47.103.15.237",""
"IPv4","39.107.93.206",""
"IPv4","179.43.156.130",""
"IPv4","193.201.9.221",""
"IPv4","124.221.250.89",""
"IPv4","118.89.22.1",""
"IPv4","124.126.15.130",""
"IPv4","159.69.72.45",""
"IPv4","39.105.176.212",""
"IPv4","124.223.210.69",""
"IPv4","152.89.196.33",""
"IPv4","134.209.92.85",""
"IPv4","43.143.172.113",""
"IPv4","182.42.102.180",""
"IPv4","209.133.211.242",""
"IPv4","144.217.24.208",""
"IPv4","120.25.167.104",""
"IPv4","179.60.150.50",""
"IPv4","107.175.221.59",""
"IPv4","106.75.231.15",""
"IPv4","179.60.150.34",""
"IPv4","167.71.193.32",""
"IPv4","18.162.59.234",""
"IPv4","1.15.232.225",""
"IPv4","43.132.147.159",""
"IPv4","161.97.161.77",""
"IPv4","185.23.214.116",""
"IPv4","101.43.208.122",""
"IPv4","139.159.198.21",""
"IPv4","116.204.211.180",""
"IPv4","43.142.244.86",""
"IPv4","39.105.156.159",""
"IPv4","43.142.16.234",""
"IPv4","150.158.45.62",""
"IPv4","158.247.238.127",""
"IPv4","150.136.163.159",""
"IPv4","124.222.177.70",""
"IPv4","120.79.4.215",""
"IPv4","81.70.198.76",""
"IPv4","165.227.85.160",""
"IPv4","24.233.26.131",""
"IPv4","106.55.153.204",""
"IPv4","175.27.165.254",""
"hostname","www.updategateway.com",""
"domain","hackerwei.com",""
"domain","h3g.lt",""
"hostname","omnitruck.chef.io",""
"hostname","redhat.cdn-os.net",""
"hostname","cs.jldiamond.cn",""
"hostname","data.hik.icu",""
"hostname","update.windowspowerr.com",""
"hostname","service-odolei17-1309297788.bj.apigw.tencentcs.com",""
"hostname","cs.vcat.ml",""
"hostname","service-9ftmdffn-1307765812.cd.apigw.tencentcs.com",""
"domain","vendriol.com",""
"domain","filsh.cn",""
"domain","cmcc.asia",""
"hostname","service-4yzvrkp5-1256842621.sh.apigw.tencentcs.com",""
"hostname","service-mx65fzk4-1301998990.hk.apigw.tencentcs.com",""
"hostname","api.0nedriveup.com",""
"hostname","service-1kgeq4ma-1253493857.gz.apigw.tencentcs.com",""
"hostname","service-65m9dzhk-1259025339.gz.apigw.tencentcs.com",""
"hostname","service-2rcke0a5-1312435925.sh.apigw.tencentcs.com",""
"hostname","firefox.heapack.com",""
"hostname","static.scjjrb.com",""
"hostname","dl.kasperskyupdates.com",""
"hostname","service-nh7boia4-1258515730.gz.apigw.tencentcs.com",""
"hostname","service-ee3qc24j-1302319247.bj.apigw.tencentcs.com",""
"hostname","service-2g1cedqm-1313044575.gz.apigw.tencentcs.com",""
"hostname","www.loaclhost.cf",""
"hostname","service-fe6e3had-1252572862.sh.apigw.tencentcs.com",""
"hostname","always.find3321.com",""
"hostname","www.doguturkistander.org",""
"hostname","oneload.find3321.com",""
"hostname","dev.rhombersersa.com",""
"hostname","remote.nedsecures.co.za",""
"domain","alyaskafond.su",""
"hostname","www.vietsovspeedtest.com",""
"domain","axiommortgagebankers.com",""
"domain","bgastrofinombg.com",""
"hostname","cslabtest-live.translate.goog",""
