"Indicator type","Indicator","Description"
"IPv4","47.110.166.142",""
"IPv4","112.33.35.68",""
"IPv4","183.252.193.51",""
"IPv4","139.129.104.188",""
"IPv4","121.145.28.220",""
"IPv4","106.15.193.16",""
"IPv4","86.110.226.180",""
"IPv4","203.253.68.245",""
"IPv4","37.97.129.171",""
"IPv4","61.76.168.124",""
"IPv4","59.110.168.221",""
"IPv4","122.114.161.164",""
"IPv4","185.124.166.20",""
"IPv4","36.37.75.115",""
"IPv4","95.66.174.2",""
"IPv4","58.240.97.132",""
"IPv4","47.103.137.27",""
"IPv4","60.190.63.30",""
"IPv4","8.135.102.71",""
"IPv4","95.177.223.76",""
"IPv4","217.73.150.235",""
"IPv4","212.174.242.50",""
"IPv4","5.158.127.26",""
"IPv4","183.252.193.52",""
"IPv4","84.51.18.138",""
"IPv4","109.17.136.74",""
"IPv4","37.8.238.50",""
"IPv4","61.138.124.35",""
"IPv4","119.84.143.130",""
"IPv4","39.107.237.118",""
"IPv4","86.202.163.251",""
"IPv4","202.164.165.149",""
"IPv4","80.15.223.74",""
"IPv4","165.255.122.174",""
"IPv4","95.104.60.114",""
"IPv4","176.135.30.40",""
"IPv4","78.185.56.127",""
"IPv4","117.50.22.94",""
"IPv4","210.3.55.170",""
"IPv4","51.77.106.235",""
"IPv4","108.21.54.245",""
"IPv4","31.117.13.22",""
"IPv4","138.121.200.250",""
"IPv4","175.178.87.159",""
"IPv4","91.121.155.228",""
"IPv4","86.110.226.184",""
"IPv4","189.129.98.2",""
"IPv4","156.155.29.171",""
"IPv4","79.192.234.37",""
"IPv4","144.217.60.69",""
"IPv4","83.221.220.161",""
"IPv4","185.195.125.155",""
"IPv4","195.85.216.224",""
"IPv4","86.110.226.183",""
"IPv4","188.132.202.161",""
"IPv4","79.110.234.186",""
"IPv4","185.250.240.251",""
"IPv4","171.22.30.90",""
"IPv4","90.219.112.134",""
